"rowname","Species_name","G_content","C_content","A_content","T_content","G_plus_C","G_minus_C","GC_skew","A_plus_T","A_minus_T","AT_skew","GC_ratio","AT_ratio","genome_length"
"[Bacillus] aminovorans","_bacillus_aminovorans",0.200524951949348,0.205077277182543,0.295506484575071,0.298891286293038,0.405602229131891,-0.00455232523319482,-0.0112236198576574,0.594397770868109,-0.00338480171796712,-0.00569450607633281,0.977801903283791,0.988675475421359,4041891.00522215
"[Bacillus] selenitireducens MLS10","_bacillus_selenitireducens_mls10",0.249856715,0.236842889,0.258003439,0.255296957,0.486699604,0.013013826,0.0267389286801227,0.513300396,0.00270648200000001,0.00527270584844826,1.05494708350733,1.01060130928235,3592487
"[Bacillus thuringiensis] serovar konkukian str. 97-27","_bacillus_thuringiensis_serovar_konkukian_str_97_27",0.175611167014899,0.178041176471741,0.322168897567753,0.324178758945607,0.353652343486641,-0.00243000945684177,-0.00687118154763073,0.646347656513359,-0.00200986137785397,-0.00310956705358215,0.98635141878414,0.993800144758432,5314793.00081873
"[Bacteroides] pectinophilus ATCC 43243","_bacteroides_pectinophilus_atcc_43243",0.21885120147744,0.200450764378096,0.295379051357022,0.285318982787442,0.419301965855536,0.0184004370993433,0.0438834982845821,0.580698034144464,0.0100600685695796,0.0173240961361286,1.09179529525084,1.03525902297596,3025526.00069542
"[Brevibacterium] flavum","_brevibacterium_flavum",0.270828547,0.270542807,0.229351014,0.229277632,0.541371354,0.000285739999999979,0.000527807756891361,0.458628646,7.3381999999983e-05,0.000160003088860662,1.00105617297007,1.00032005738789,3338699
"[Brevibacterium] halotolerans","_brevibacterium_halotolerans",0.232874491767125,0.204696176795304,0.2917000107083,0.270729320729271,0.437570668562429,0.0281783149718217,0.0643971751223572,0.562429331437571,0.0209706899790293,0.0372859109702336,1.13765921480791,1.07745998816286,4139921.00413992
"[Butyribacterium] methylotrophicum","_butyribacterium_methylotrophicum",0.234458,0.240584857,0.260596295,0.264360848,0.475042857,-0.00612685700000001,-0.0128974826370245,0.524957143,-0.003764553,-0.00717116254192965,0.974533488614373,0.985759793749792,4256016
"'Chrysanthemum coronarium' phytoplasma","_chrysanthemum_coronarium_phytoplasma",0.137731344,0.137470389,0.358695064,0.366103203,0.275201733,0.000260955000000007,0.000948231674107979,0.724798267,-0.00740813899999992,-0.0102209667672949,1.00189826334164,0.979764888863865,739592
"[Clostridium] acidurici 9a","_clostridium_acidurici_9a",0.150720921,0.148614911,0.351055321,0.349608847,0.299335832,0.00210601000000002,0.00703560942212899,0.700664168,0.00144647399999998,0.00206443267125939,1.01417091990184,1.00413740674017,3108248
"[Clostridium asparagiforme] DSM 15981","_clostridium_asparagiforme_dsm_15981",0.274927458469714,0.281112321132244,0.220132700707588,0.223827519690453,0.556039779601959,-0.00618486266253032,-0.0111230578987672,0.443960220398041,-0.00369481898286458,-0.0083224100113112,0.977998606970981,0.983492561647583,6224391.00526481
